unique_values,counts,supports
Hillary for America,38315,Clinton
Donald J Trump For President,22617,Trump
Priorities USA Action,11250,Clinton
Rebuilding America Now,2735,Trump
NextGen California Action Committee,2382,Clinton
Women Vote!,1102,Clinton
Future45,960,Trump
Reform America Fund,803,Trump
NRA Institute for Legislative Action,791,Trump
45 Committee,766,Trump
National Rifle Assn,669,Trump
Friends of Patrick Murphy,556,Unclear
Donald J. Trump For President,524,Trump
Internet Archive,511,Unclear
Stop Hillary PAC,498,Trump
Great America PAC,478,Trump
MoveOn.org,431,Clinton
Marco Rubio For Senate 2016,412,Trump
Purple PAC,274,Trump
Strickland for Senate,259,Trump
Democratic National Cmte,207,Clinton
Correct The Record,135,Clinton
Reclaim America PAC,110,Trump
